id,age,gender,income_category,children_at_home
80053,29,M,medium,0.0
82718,46,M,low,1.0
86640,58,F,medium,1.0
34135,20,F,low,0.0
50133,15,F,,0.0
88717,47,M,low,1.0
1963,34,F,low,0.0
10697,20,M,low,0.0
14939,63,M,medium,0.0
44922,41,F,medium,1.0
46963,30,F,medium,0.0
2904,63,F,high,0.0
11092,31,F,low,0.0
15615,57,M,medium,1.0
17130,53,F,high,1.0
31231,66,M,high,0.0
48705,53,M,high,1.0
49824,45,F,low,1.0
61558,56,F,high,1.0
63848,62,M,high,1.0
76552,17,M,low,0.0
10909,43,F,low,1.0
26395,45,F,low,1.0
33101,57,F,medium,1.0
34838,60,M,medium,1.0
38091,12,M,,0.0
41052,55,M,medium,1.0
49979,66,M,medium,0.0
53053,51,M,high,1.0
55073,46,F,medium,1.0
55668,60,F,medium,1.0
58690,17,M,low,0.0
59591,49,F,low,1.0
59910,12,F,,0.0
60170,46,F,low,0.0
62824,57,F,high,1.0
65485,64,M,high,0.0
71786,20,F,low,0.0
78935,39,F,low,0.0
89507,28,M,low,0.0
97629,48,F,low,1.0
99252,21,M,low,0.0
48712,19,M,low,0.0
52486,59,M,medium,1.0
54427,28,F,low,0.0
56177,25,M,low,1.0
57436,29,M,low,0.0
57438,57,F,medium,1.0
58743,70,F,low,0.0
69480,33,F,low,0.0
71456,60,F,medium,1.0
83826,68,M,low,0.0
12153,32,F,low,1.0
14722,37,M,low,0.0
41179,19,F,low,0.0
48058,62,F,high,1.0
70731,52,M,high,1.0
77122,56,M,medium,1.0
729,27,F,low,0.0
9621,56,M,medium,1.0
11773,63,M,high,0.0
13003,55,M,medium,1.0
19382,54,M,medium,1.0
27007,43,M,medium,1.0
35735,24,M,low,0.0
65632,18,F,low,0.0
90769,43,M,low,0.0
99922,37,F,low,1.0
1613,48,F,medium,1.0
2722,17,F,low,0.0
20268,26,M,low,0.0
23281,21,F,low,0.0
27168,49,F,low,1.0
35949,40,F,medium,1.0
55169,21,M,low,0.0
60627,43,M,medium,1.0
61750,20,F,low,0.0
69586,64,M,high,0.0
69720,32,M,medium,1.0
69842,30,F,low,1.0
73385,38,M,medium,0.0
78814,34,M,low,0.0
82210,63,F,high,0.0
86007,49,M,low,1.0
94658,21,M,low,0.0
32200,36,M,low,0.0
37064,40,F,low,0.0
54467,59,F,high,1.0
92104,33,F,low,0.0
93948,25,M,medium,0.0
27713,63,M,high,0.0
51994,44,F,medium,1.0
79644,67,F,high,0.0
358,39,M,low,1.0
12280,47,F,medium,1.0
20588,66,M,medium,0.0
36647,45,F,low,1.0
40742,27,F,medium,0.0
55512,55,F,high,1.0
63902,53,M,high,1.0
65366,40,M,low,1.0
68866,55,F,high,1.0
77558,55,M,medium,1.0
4349,69,F,low,0.0
19535,16,M,low,0.0
43985,51,F,high,0.0
48562,44,F,low,1.0
49237,32,F,low,0.0
55424,46,F,low,1.0
70890,20,M,medium,0.0
74086,27,F,medium,0.0
74853,32,F,low,0.0
75910,20,M,low,0.0
83956,18,M,low,0.0
90475,16,M,low,0.0
92463,13,M,,0.0
94309,59,F,high,1.0
3313,28,F,low,0.0
7239,61,F,high,1.0
73850,46,F,low,1.0
82432,67,M,medium,0.0
95232,37,F,low,0.0
10188,43,F,low,1.0
16558,57,F,high,1.0
28569,22,M,low,0.0
35254,24,M,low,0.0
38961,36,M,medium,1.0
55920,15,M,,0.0
57775,32,F,medium,1.0
58138,33,M,low,1.0
68099,33,M,low,1.0
87989,41,F,low,1.0
7868,46,F,low,0.0
11278,29,F,low,1.0
52663,34,M,low,0.0
65901,62,F,high,1.0
85130,32,M,low,0.0
90490,32,F,low,1.0
2821,22,F,medium,0.0
62457,39,M,low,0.0
64768,32,M,medium,1.0
96907,16,F,medium,0.0
12173,43,M,low,1.0
12735,44,F,low,1.0
18644,62,F,high,1.0
25395,41,M,low,1.0
29786,60,M,medium,1.0
30515,55,M,medium,1.0
35116,14,F,,0.0
44468,51,M,medium,1.0
44828,40,M,medium,1.0
51048,37,F,low,1.0
56176,67,M,high,0.0
58403,46,F,low,1.0
69906,21,M,low,0.0
86972,29,F,low,0.0
97831,67,F,medium,0.0
18251,30,M,low,1.0
35491,22,M,low,0.0
1439,33,F,low,0.0
4460,68,F,high,0.0
11509,48,F,medium,1.0
21515,67,F,high,0.0
21956,69,F,medium,0.0
39743,50,M,low,1.0
40596,43,F,medium,1.0
55290,16,M,medium,0.0
55721,53,F,high,1.0
63015,58,F,high,1.0
73806,56,M,medium,1.0
82832,35,M,low,0.0
86818,44,M,low,1.0
688,43,F,medium,1.0
5619,47,M,low,1.0
10867,42,F,medium,1.0
11374,69,M,low,0.0
23769,32,M,medium,0.0
24039,61,M,high,1.0
37472,20,M,low,0.0
46602,61,M,medium,1.0
51252,35,M,low,0.0
64328,21,M,low,0.0
71446,31,F,low,0.0
72517,48,F,low,1.0
83232,40,M,low,1.0
84342,52,F,medium,1.0
88704,28,F,low,1.0
91186,70,M,low,0.0
92779,67,M,low,0.0
92880,32,F,low,1.0
46164,47,F,low,1.0
37774,18,M,low,0.0
54442,70,M,medium,0.0
59729,69,M,medium,0.0
87884,45,F,medium,1.0
5873,64,F,high,0.0
17725,18,M,low,0.0
30800,14,F,,0.0
47179,39,M,low,1.0
72445,53,M,medium,1.0
78204,17,F,medium,0.0
78726,66,M,medium,0.0
80683,20,M,low,0.0
80926,48,F,low,1.0
87047,57,M,high,1.0
98541,18,F,low,0.0
1971,66,F,high,0.0
45240,53,M,medium,1.0
45738,39,F,low,1.0
53171,66,M,medium,0.0
63820,31,F,low,1.0
72783,28,F,low,0.0
11074,25,F,low,0.0
13122,68,F,medium,0.0
33897,36,M,medium,0.0
51339,60,M,medium,1.0
70820,33,F,low,0.0
84772,48,F,low,1.0
96664,60,M,high,1.0
97687,61,M,high,1.0
99150,35,M,low,1.0
42354,42,M,low,1.0
47560,42,F,low,1.0
62520,14,F,,0.0
87759,29,M,low,0.0
27073,34,F,low,1.0
40933,64,M,high,0.0
47484,29,M,low,0.0
77771,65,F,medium,0.0
92303,40,F,medium,1.0
11852,69,F,high,0.0
18308,51,M,high,1.0
27676,22,M,low,0.0
33182,34,F,medium,0.0
42636,38,M,low,1.0
49352,22,F,medium,0.0
62248,22,F,low,0.0
73873,12,M,,0.0
87382,69,M,high,0.0
89082,57,M,medium,0.0
93431,41,F,low,0.0
1245,65,M,high,0.0
4141,32,F,low,0.0
5203,23,M,low,0.0
23023,63,F,medium,0.0
30324,19,F,low,0.0
30535,18,M,low,0.0
34168,21,M,medium,0.0
35169,44,F,low,0.0
61795,66,M,medium,0.0
69168,22,M,low,0.0
92008,39,F,medium,1.0
603,51,F,medium,0.0
10421,56,F,high,1.0
10736,12,F,,0.0
13882,64,M,medium,0.0
14084,22,M,low,0.0
19546,65,M,medium,0.0
19796,68,F,low,0.0
27928,39,F,medium,1.0
40173,59,M,medium,1.0
48756,49,M,low,1.0
51379,12,M,,0.0
54369,37,F,low,1.0
84010,63,F,medium,0.0
15537,13,F,,0.0
20081,58,M,high,1.0
32421,12,M,,0.0
33493,49,F,low,1.0
52996,64,F,high,0.0
65823,63,M,medium,0.0
77187,22,M,low,0.0
77818,14,F,,0.0
79705,58,F,medium,1.0
91322,40,F,low,1.0
93041,32,F,low,0.0
30693,49,F,low,1.0
45747,34,F,low,0.0
74014,13,F,,0.0
84210,64,M,high,0.0
88741,36,M,low,0.0
92131,65,F,high,0.0
93756,50,M,medium,1.0
96802,28,F,medium,0.0
99229,69,M,low,0.0
4092,28,M,low,0.0
21072,27,F,low,1.0
51965,60,F,medium,1.0
57335,66,M,medium,0.0
68098,65,F,medium,0.0
73255,61,M,high,1.0
93337,30,F,low,1.0
20096,32,F,low,0.0
20208,42,F,low,1.0
54283,50,M,low,1.0
66383,39,F,low,0.0
77830,53,M,high,1.0
83377,19,F,low,0.0
64295,34,F,low,0.0
72033,63,F,high,0.0
73051,52,F,medium,1.0
78063,66,M,medium,0.0
83361,37,F,medium,1.0
13304,58,F,medium,1.0
15663,17,F,medium,0.0
38317,18,F,medium,0.0
41780,67,M,medium,0.0
43416,49,M,low,1.0
77070,20,M,low,0.0
86690,70,F,medium,0.0
7099,17,M,medium,0.0
13195,19,M,low,0.0
24681,37,M,low,1.0
31728,50,M,low,1.0
34291,18,M,low,0.0
38526,60,F,high,1.0
51521,45,F,low,1.0
59826,42,M,low,0.0
79590,65,F,high,0.0
92851,53,M,medium,1.0
43499,25,M,low,0.0
47373,36,M,low,1.0
48103,70,M,high,0.0
58551,18,M,low,0.0
80322,69,M,low,0.0
95021,12,M,,0.0
9868,40,F,low,1.0
19078,18,M,medium,0.0
20665,49,F,low,1.0
39390,28,F,low,0.0
48973,21,M,low,0.0
66741,12,M,,0.0
85460,54,M,high,1.0
87139,53,F,medium,1.0
89725,42,F,low,1.0
93726,33,M,medium,0.0
39588,64,M,high,0.0
52216,43,F,low,1.0
60700,12,M,,0.0
62473,14,F,,0.0
89908,50,M,low,1.0
20121,62,F,high,1.0
23455,60,M,high,1.0
27772,70,F,high,0.0
30991,38,M,low,0.0
57281,29,M,low,0.0
64762,42,M,medium,0.0
67944,37,F,medium,0.0
7926,25,M,low,0.0
23784,40,M,low,1.0
49220,45,M,medium,1.0
62563,29,M,low,0.0
72939,55,M,medium,1.0
74349,20,M,low,0.0
80890,57,M,high,1.0
83309,26,M,low,1.0
87689,64,M,high,0.0
58824,33,M,low,0.0
26589,43,F,low,1.0
95654,51,M,high,1.0
45318,19,F,low,0.0
62905,45,F,low,1.0
65906,21,M,low,0.0
88811,67,F,high,0.0
72801,66,F,medium,0.0
19718,57,F,high,1.0
63729,14,M,,0.0
78133,19,M,low,0.0
38828,12,M,,0.0
87022,41,F,medium,1.0
47442,22,M,low,0.0
36296,31,M,low,0.0
88921,40,F,low,1.0
11098,35,F,medium,0.0
10310,20,F,low,0.0
23202,45,F,medium,1.0
52612,23,F,medium,0.0
73902,26,M,low,1.0
6025,56,M,medium,1.0
8644,48,M,medium,0.0
8735,64,F,high,0.0
9246,53,M,medium,1.0
51294,33,M,medium,0.0
81298,24,M,low,0.0
58017,61,F,high,1.0
67245,29,M,medium,0.0
74192,38,M,medium,0.0
12936,53,F,medium,1.0
11888,67,M,high,0.0
53818,25,M,low,0.0
77977,25,M,medium,0.0
84452,32,M,low,0.0
76448,45,F,low,0.0
13161,59,F,high,1.0
71427,17,M,low,0.0
5971,14,F,,0.0
86900,57,F,medium,1.0
61810,27,F,medium,0.0
67584,39,M,low,1.0
70421,40,M,low,1.0
17702,21,M,medium,0.0
28979,17,F,low,0.0
36920,62,M,high,1.0
79258,67,F,high,0.0
79471,23,F,low,0.0
79816,26,M,low,0.0
26627,48,F,low,1.0
46231,30,F,low,1.0
62424,13,F,,0.0
59961,44,F,low,1.0
66332,44,F,medium,0.0
26090,43,F,low,1.0
47440,64,M,medium,0.0
4720,39,M,medium,1.0
8833,32,M,medium,0.0
72060,65,M,high,0.0
95308,57,M,medium,1.0
98058,35,M,low,0.0
23396,47,F,low,0.0
30705,61,F,high,1.0
32962,67,F,medium,0.0
35901,22,M,low,0.0
50739,52,M,medium,1.0
59526,60,F,high,1.0
87614,63,F,high,0.0
3646,58,M,high,1.0
13448,44,M,low,1.0
14144,59,F,medium,1.0
7531,46,F,low,1.0
74635,56,F,medium,1.0
25022,32,M,low,0.0
96647,42,F,low,1.0
52099,69,F,low,0.0
64306,37,F,low,1.0
77415,70,M,high,0.0
1274,66,M,low,0.0
37892,21,F,low,0.0
42405,54,M,medium,1.0
20327,24,F,low,0.0
38410,29,M,low,1.0
67803,58,F,medium,1.0
93437,39,F,low,0.0
97475,33,F,low,1.0
48346,12,M,,0.0
56480,55,F,high,1.0
55658,42,F,low,1.0
42530,48,M,medium,1.0
52131,15,M,,0.0
55470,68,M,medium,0.0
68783,33,M,low,1.0
42227,63,F,medium,0.0
49832,63,F,medium,0.0
10063,68,F,low,0.0
11711,32,M,low,1.0
50429,39,F,low,0.0
58332,13,F,,0.0
16615,29,F,low,0.0
26525,42,F,low,1.0
42896,61,M,high,1.0
82628,32,M,low,1.0
97357,67,F,high,0.0
24886,44,M,medium,1.0
36491,63,F,high,0.0
66354,61,M,high,1.0
3004,54,M,medium,1.0
40785,47,M,low,1.0
96686,41,F,low,1.0
29434,50,M,low,1.0
23345,39,M,medium,0.0
19966,62,F,high,1.0
46157,18,F,low,0.0
85212,58,M,medium,1.0
93339,15,F,,0.0
94904,58,M,medium,1.0
81512,55,F,high,1.0
32037,49,F,low,1.0
72004,47,F,low,1.0
76724,18,M,low,0.0
36654,57,M,medium,1.0
51526,38,F,low,0.0
16989,51,F,high,1.0
41256,34,F,low,1.0
83366,64,F,high,0.0
84956,67,F,high,0.0
1743,47,F,medium,1.0
73232,61,M,high,1.0
94963,50,F,low,1.0
97537,41,M,low,1.0
17765,13,F,,0.0
22829,56,M,high,1.0
23233,15,M,,0.0
26539,40,F,medium,1.0
41886,46,F,low,0.0
45854,16,F,low,0.0
52477,57,F,high,1.0
71650,64,F,medium,0.0
22457,44,F,low,1.0
71265,51,F,medium,0.0
2782,16,F,low,0.0
26622,20,F,low,0.0
57490,32,F,medium,1.0
86189,40,M,low,0.0
11235,68,F,low,0.0
64149,61,M,high,1.0
89403,15,M,,0.0
41144,35,F,low,0.0
48260,48,M,low,1.0
78507,29,F,medium,0.0
90631,13,M,,0.0
32840,55,F,medium,1.0
34453,41,M,low,1.0
54426,57,F,medium,1.0
80116,35,F,low,1.0
86926,19,F,low,0.0
3131,13,F,,0.0
63415,56,M,high,1.0
21758,67,F,high,0.0
26926,58,F,high,1.0
39394,65,F,high,0.0
24713,28,F,low,0.0
26902,56,M,high,1.0
39944,44,F,low,1.0
89685,20,F,low,0.0
90119,41,F,medium,1.0
31104,64,M,high,0.0
41370,57,M,high,1.0
50580,13,M,,0.0
42665,62,M,high,1.0
30850,48,F,low,1.0
58353,31,F,medium,0.0
12073,51,F,high,1.0
12766,55,M,medium,1.0
17555,54,F,medium,1.0
23350,62,F,high,1.0
40455,70,F,medium,0.0
82607,56,F,medium,1.0
25040,49,F,medium,1.0
53555,48,F,low,1.0
60442,62,F,high,1.0
86819,24,M,medium,0.0
873,18,F,low,0.0
36952,37,F,low,1.0
25457,45,F,medium,1.0
12833,44,M,low,1.0
83468,22,M,low,0.0
93233,21,F,low,0.0
98586,47,M,low,1.0
86891,33,M,low,0.0
7155,48,M,low,1.0
20516,70,M,low,0.0
50112,32,F,low,1.0
9930,45,F,low,1.0
47940,56,F,medium,1.0
43308,44,M,low,1.0
60847,57,F,high,1.0
34026,59,M,medium,1.0
25465,44,M,low,1.0
63779,53,M,medium,1.0
79994,64,M,high,0.0
91846,69,F,low,0.0
53178,22,F,low,0.0
46617,26,F,low,0.0
17357,54,M,high,1.0
46398,70,M,high,0.0
94147,58,F,medium,1.0
13878,26,F,low,0.0
49995,24,F,medium,0.0
62590,58,F,high,1.0
98647,25,F,low,0.0
61947,66,F,low,0.0
67126,26,M,low,0.0
20601,28,F,medium,0.0
84619,35,F,low,1.0
26542,42,F,low,1.0
68846,64,F,high,0.0
85136,19,F,medium,0.0
66193,12,F,,0.0
79083,66,M,high,0.0
3363,29,M,low,0.0
60671,15,F,,0.0
37962,51,F,medium,1.0
20420,36,F,low,1.0
59508,46,F,low,1.0
63435,17,F,low,0.0
99259,61,F,medium,1.0
6315,34,F,low,1.0
11106,64,M,high,0.0
33980,36,F,low,0.0
8144,56,M,medium,1.0
34265,55,F,high,1.0
49783,17,F,low,0.0
64965,67,F,high,0.0
77441,18,M,low,0.0
17686,37,M,medium,0.0
42114,48,M,low,1.0
73782,51,M,high,1.0
9351,66,F,high,0.0
29491,50,M,low,1.0
52781,37,M,low,0.0
72001,32,M,low,1.0
16333,33,M,low,0.0
45458,18,F,low,0.0
6055,68,M,high,0.0
37095,16,M,low,0.0
21300,29,F,low,0.0
35142,19,F,low,0.0
66859,56,M,medium,1.0
16870,64,M,medium,0.0
26063,14,F,,0.0
43533,45,M,low,1.0
43631,27,M,medium,0.0
13889,47,F,medium,1.0
70399,48,F,low,1.0
25871,68,M,medium,0.0
5644,56,M,high,1.0
16761,14,M,,0.0
95410,12,F,,0.0
15903,65,M,medium,0.0
38334,32,M,medium,0.0
48143,65,F,medium,0.0
52091,63,M,high,0.0
57702,56,F,high,1.0
61335,23,M,low,0.0
