id,age,gender,country,latitude,longitude,traffic_source,days_since_lo,cancellations,returns,no_orders,no_items,items_per_order,total_spend,avg_order_value,income_category,children_at_home
11024,62,M,United States,32.27384604,-86.21682948,Search,447.0,0.0,0.0,1,2,2.0,74.48999977111816,74.48999977111816,high,1.0
94518,30,M,United States,32.27384604,-86.21682948,Search,429.0,1.0,0.0,2,2,1.0,625.0,312.5,low,0.0
95157,18,M,United States,32.27384604,-86.21682948,Search,296.0,0.0,0.0,1,1,1.0,42.950000762939446,42.950000762939446,low,0.0
11750,17,M,United States,34.79750418,-86.50629926,Search,327.0,0.0,0.0,1,2,2.0,69.45000076293945,69.45000076293945,medium,0.0
42269,36,M,United States,34.79750418,-86.50629926,Search,471.0,0.0,1.0,1,1,1.0,209.0,209.0,low,0.0
41243,16,F,United States,34.57200049,-86.53103376,Search,147.0,0.0,0.0,1,3,3.0,246.22000122070312,246.22000122070312,low,0.0
82470,20,F,United States,34.57200049,-86.53103376,Organic,705.0,0.0,0.0,1,1,1.0,52.880001068115234,52.880001068115234,low,0.0
31662,15,F,United States,34.72596807,-86.55401821,Search,521.0,0.0,0.0,1,1,1.0,48.0,48.0,none,0.0
76630,63,M,United States,34.72596807,-86.55401821,Organic,420.0,1.0,0.0,1,4,4.0,159.36999702453613,159.36999702453613,medium,0.0
93341,61,F,United States,34.72596807,-86.55401821,Search,155.0,0.0,0.0,1,2,2.0,176.79999923706055,176.79999923706055,high,1.0
62405,68,M,United States,33.64934318,-86.5644249,Search,87.0,0.0,0.0,1,3,3.0,249.18999862670898,249.18999862670898,high,0.0
91012,50,F,United States,33.64934318,-86.5644249,Organic,144.0,0.0,1.0,1,2,2.0,106.57999801635741,106.57999801635741,low,1.0
94320,15,M,United States,34.80013855,-86.60404855,Organic,122.0,0.0,0.0,1,1,1.0,29.0,29.0,none,0.0
59995,32,M,United States,34.70162622,-86.62154422,Facebook,33.0,0.0,0.0,2,5,2.5,123.53000068664551,61.765000343322754,low,1.0
13380,34,M,United States,33.41974023,-86.67387901,Organic,182.0,0.0,0.0,1,2,2.0,77.17999839782715,77.17999839782715,low,0.0
31520,24,M,United States,34.71349153,-86.74450348,Search,265.0,0.0,0.0,2,2,1.0,95.31000137329102,47.65500068664551,low,0.0
92848,38,F,United States,34.71349153,-86.74450348,Search,210.0,0.0,0.0,1,1,1.0,223.97000122070312,223.97000122070312,low,0.0
90837,18,M,United States,34.82383065,-86.75350536,Search,54.0,1.0,0.0,1,1,1.0,19.0,19.0,low,0.0
12045,37,M,United States,33.42129713,-86.78733086,Search,265.0,0.0,0.0,2,3,1.5,65.68000030517578,32.84000015258789,low,0.0
79078,37,F,United States,33.21929346,-86.7948295,Search,357.0,0.0,0.0,2,4,2.0,887.0,443.5,low,1.0
86860,70,M,United States,33.46517505,-86.81156063,Email,280.0,1.0,0.0,2,2,1.0,95.17000007629395,47.58500003814697,high,0.0
24061,55,F,United States,33.35683071,-86.82021855,Search,139.0,0.0,0.0,1,2,2.0,73.45000076293945,73.45000076293945,high,1.0
6572,57,M,United States,34.44218232,-86.94239098,Search,409.0,0.0,0.0,1,4,4.0,206.67000007629395,206.67000007629395,high,1.0
6716,40,F,United States,34.44218232,-86.94239098,Search,47.0,0.0,0.0,1,1,1.0,20.989999771118164,20.989999771118164,medium,1.0
44528,39,M,United States,34.44218232,-86.94239098,Search,265.0,0.0,0.0,1,1,1.0,19.989999771118164,19.989999771118164,low,1.0
95001,60,F,United States,34.44218232,-86.94239098,Search,12.0,0.0,0.0,1,1,1.0,46.0,46.0,high,1.0
9159,21,F,United States,33.40304496,-86.9504251,Search,508.0,0.0,0.0,1,1,1.0,19.989999771118164,19.989999771118164,low,0.0
82074,41,F,United States,33.40304496,-86.9504251,Organic,611.0,1.0,0.0,1,4,4.0,414.5,414.5,low,1.0
84115,17,M,United States,33.40304496,-86.9504251,Search,341.0,0.0,0.0,1,1,1.0,56.950000762939446,56.950000762939446,low,0.0
12715,24,F,United States,34.53739687,-86.97004542,Search,73.0,0.0,0.0,1,1,1.0,37.950000762939446,37.950000762939446,low,0.0
85880,60,M,United States,34.53739687,-86.97004542,Search,154.0,0.0,1.0,1,1,1.0,24.26000022888184,24.26000022888184,medium,1.0
87960,63,F,United States,34.53739687,-86.97004542,Search,21.0,0.0,0.0,1,1,1.0,44.950000762939446,44.950000762939446,high,0.0
97948,28,F,United States,34.53739687,-86.97004542,Search,568.0,0.0,0.0,1,4,4.0,218.95000076293945,218.95000076293945,low,0.0
28570,16,M,United States,34.61337915,-87.00970929,Search,421.0,0.0,0.0,1,1,1.0,107.9499969482422,107.9499969482422,low,0.0
72417,63,M,United States,33.21527652,-87.48690437,Search,196.0,0.0,0.0,1,1,1.0,98.0,98.0,medium,0.0
9977,57,F,United States,33.1150898,-87.54254028,Search,724.0,0.0,0.0,1,1,1.0,12.989999771118164,12.989999771118164,medium,1.0
23288,58,M,United States,33.17860185,-87.61596952,Facebook,78.0,0.0,0.0,1,1,1.0,53.950000762939446,53.950000762939446,high,1.0
60321,31,F,United States,33.17860185,-87.61596952,Search,40.0,0.0,1.0,1,1,1.0,13.989999771118164,13.989999771118164,low,1.0
73685,60,M,United States,33.17860185,-87.61596952,Search,98.0,0.0,0.0,2,3,1.5,215.97999572753906,107.98999786376953,high,1.0
68349,30,F,United States,30.38373445,-87.72865694,Search,356.0,0.0,0.0,1,1,1.0,32.9900016784668,32.9900016784668,low,0.0
28620,28,M,United States,30.61363151,-87.86307516,Email,396.0,0.0,0.0,1,1,1.0,97.5,97.5,low,0.0
85862,18,M,United States,30.61363151,-87.86307516,Search,443.0,0.0,0.0,1,2,2.0,117.94999694824216,117.94999694824216,low,0.0
69905,21,M,United States,30.48318052,-87.86514395,Search,331.0,0.0,0.0,1,1,1.0,95.0,95.0,low,0.0
10504,29,F,United States,30.60377558,-88.08849517,Search,25.0,0.0,0.0,1,1,1.0,29.950000762939453,29.950000762939453,low,0.0
39652,25,M,United States,30.60377558,-88.08849517,Facebook,140.0,0.0,0.0,3,6,2.0,323.9199962615967,107.9733320871989,low,0.0
65636,33,M,United States,30.60377558,-88.08849517,Email,13.0,0.0,0.0,1,3,3.0,147.0,147.0,low,0.0
91630,45,F,United States,30.60377558,-88.08849517,Search,162.0,0.0,1.0,1,1,1.0,69.98999786376953,69.98999786376953,medium,1.0
12158,63,M,United States,30.62895862,-88.28239545,Email,116.0,0.0,0.0,1,1,1.0,35.0,35.0,medium,0.0
48879,51,M,United States,30.62895862,-88.28239545,Organic,700.0,0.0,0.0,1,2,2.0,98.94000244140625,98.94000244140625,medium,1.0
62603,42,M,United States,30.62895862,-88.28239545,Email,624.0,0.0,0.0,1,1,1.0,9.989999771118164,9.989999771118164,low,0.0
7421,50,F,United States,30.68053087,-88.29475118,Search,448.0,1.0,0.0,1,2,2.0,94.0,94.0,medium,1.0
27737,17,M,United States,30.68053087,-88.29475118,Search,311.0,0.0,0.0,1,1,1.0,32.9900016784668,32.9900016784668,low,0.0
45759,17,F,United States,30.68053087,-88.29475118,Search,403.0,0.0,0.0,1,1,1.0,68.94999694824219,68.94999694824219,low,0.0
49728,27,F,United States,30.68053087,-88.29475118,Search,22.0,0.0,0.0,1,1,1.0,39.9900016784668,39.9900016784668,low,1.0
7418,46,F,Brazil,-9.253242222,-35.62934169,Search,273.0,0.0,0.0,1,1,1.0,165.0,165.0,low,1.0
26864,56,M,Brazil,-9.253242222,-35.62934169,Search,407.0,0.0,0.0,1,1,1.0,26.6200008392334,26.6200008392334,medium,1.0
72957,54,M,Brazil,-9.253242222,-35.62934169,Search,2.0,1.0,0.0,1,3,3.0,345.9499969482422,345.9499969482422,medium,1.0
76803,21,M,Brazil,-9.253242222,-35.62934169,Search,493.0,0.0,0.0,1,1,1.0,37.2599983215332,37.2599983215332,low,0.0
78823,47,M,Brazil,-9.61046771,-35.74662744,Organic,59.0,0.0,0.0,2,2,1.0,102.57999610900879,51.289998054504395,low,1.0
82587,27,F,Brazil,-9.61046771,-35.74662744,Search,141.0,1.0,0.0,1,1,1.0,29.0,29.0,low,0.0
83607,48,F,Brazil,-9.61046771,-35.74662744,Search,146.0,0.0,0.0,2,2,1.0,20.660000324249268,10.330000162124634,low,1.0
98931,61,F,Brazil,-9.61046771,-35.74662744,Organic,39.0,0.0,0.0,2,3,1.5,53.239999771118164,26.619999885559082,medium,1.0
30302,66,F,Brazil,-9.569816148,-35.78416192,Search,231.0,2.0,0.0,1,2,2.0,49.97999954223633,49.97999954223633,medium,0.0
47874,53,F,Brazil,-9.569816148,-35.78416192,Search,72.0,0.0,0.0,1,2,2.0,39.0,39.0,medium,1.0
61116,49,F,Brazil,-9.569816148,-35.78416192,Search,36.0,0.0,0.0,1,1,1.0,12.800000190734863,12.800000190734863,medium,1.0
91554,58,M,Brazil,-9.569816148,-35.78416192,Search,122.0,0.0,1.0,2,2,1.0,92.4900016784668,46.2450008392334,high,1.0
96150,41,F,Brazil,-9.569816148,-35.78416192,Search,93.0,0.0,0.0,1,1,1.0,115.5,115.5,low,0.0
17045,12,M,Brazil,-9.477105065,-35.86378379,Search,451.0,0.0,1.0,1,2,2.0,146.9600009918213,146.9600009918213,none,0.0
24863,23,M,Brazil,-9.477105065,-35.86378379,Search,1.0,0.0,0.0,1,1,1.0,14.989999771118164,14.989999771118164,low,1.0
28242,63,F,Brazil,-9.477105065,-35.86378379,Search,68.0,0.0,0.0,1,1,1.0,10.020000457763672,10.020000457763672,high,0.0
81161,66,M,Brazil,-9.477105065,-35.86378379,Facebook,687.0,0.0,0.0,1,1,1.0,25.0,25.0,high,0.0
95909,43,M,Brazil,-9.477105065,-35.86378379,Search,246.0,0.0,0.0,1,1,1.0,65.0,65.0,medium,1.0
99823,63,M,Brazil,-9.477105065,-35.86378379,Organic,568.0,0.0,0.0,1,1,1.0,119.98999786376952,119.98999786376952,high,0.0
77533,55,F,Brazil,-9.708467904,-35.9058385,Search,72.0,0.0,0.0,1,1,1.0,11.989999771118164,11.989999771118164,high,1.0
91458,15,M,Brazil,-9.708467904,-35.9058385,Search,652.0,0.0,0.0,1,1,1.0,25.5,25.5,none,0.0
1596,26,F,Brazil,-9.125812842,-36.00663021,Search,369.0,0.0,0.0,1,1,1.0,199.0,199.0,medium,0.0
5191,51,F,Brazil,-9.125812842,-36.00663021,Facebook,339.0,0.0,0.0,1,3,3.0,196.09000205993652,196.09000205993652,medium,1.0
48177,23,M,Brazil,-9.125812842,-36.00663021,Search,226.0,0.0,0.0,1,1,1.0,25.0,25.0,low,0.0
58435,65,M,Brazil,-9.125812842,-36.00663021,Organic,45.0,0.0,0.0,1,1,1.0,85.0,85.0,high,0.0
67794,36,M,Brazil,-9.125812842,-36.00663021,Search,258.0,0.0,0.0,1,1,1.0,225.0,225.0,low,0.0
61919,39,M,Brazil,-9.505329745,-36.07349688,Search,247.0,0.0,0.0,2,2,1.0,175.0,87.5,medium,0.0
88080,13,M,Brazil,-9.505329745,-36.07349688,Search,30.0,0.0,0.0,1,1,1.0,6.829999923706056,6.829999923706056,none,0.0
94156,40,F,Brazil,-9.505329745,-36.07349688,Search,725.0,0.0,0.0,1,1,1.0,42.0,42.0,low,1.0
806,64,F,Brazil,-9.767301121,-36.09735538,Search,120.0,0.0,0.0,1,1,1.0,56.0,56.0,high,0.0
5185,28,M,Brazil,-9.767301121,-36.09735538,Search,34.0,0.0,0.0,1,1,1.0,35.0,35.0,low,0.0
26288,62,F,Brazil,-9.767301121,-36.09735538,Search,6.0,0.0,0.0,3,7,2.3333333333333335,585.9000015258789,195.3000005086263,medium,1.0
41217,57,M,Brazil,-9.767301121,-36.09735538,Search,119.0,1.0,0.0,1,1,1.0,41.950000762939446,41.950000762939446,medium,0.0
59140,60,F,Brazil,-9.767301121,-36.09735538,Search,120.0,1.0,0.0,1,1,1.0,9.989999771118164,9.989999771118164,medium,1.0
75745,20,M,Brazil,-9.767301121,-36.09735538,Search,129.0,0.0,0.0,1,2,2.0,121.0,121.0,medium,0.0
16205,46,M,Brazil,-10.08503535,-36.23270508,Organic,552.0,0.0,0.0,1,2,2.0,80.9900016784668,80.9900016784668,low,1.0
61418,49,M,Brazil,-10.08503535,-36.23270508,Search,221.0,0.0,0.0,1,1,1.0,45.9900016784668,45.9900016784668,low,0.0
72465,54,F,Brazil,-10.08503535,-36.23270508,Search,530.0,0.0,1.0,2,3,1.5,69.35000038146973,34.67500019073486,medium,1.0
74335,29,M,Brazil,-10.08503535,-36.23270508,Search,54.0,0.0,0.0,1,1,1.0,74.5,74.5,medium,1.0
78976,48,F,Brazil,-10.08503535,-36.23270508,Organic,493.0,0.0,0.0,1,1,1.0,8.989999771118164,8.989999771118164,low,1.0
80384,70,F,Brazil,-10.08503535,-36.23270508,Search,19.0,0.0,0.0,1,2,2.0,65.96000099182129,65.96000099182129,high,0.0
82316,30,M,Brazil,-10.08503535,-36.23270508,Search,101.0,0.0,0.0,1,1,1.0,99.98999786376952,99.98999786376952,medium,0.0
16751,49,M,Brazil,-9.804009564,-36.28838215,Search,190.0,0.0,0.0,2,2,1.0,103.5,51.75,medium,1.0
38332,34,F,Brazil,-9.804009564,-36.28838215,Search,28.0,0.0,0.0,1,4,4.0,122.56999969482422,122.56999969482422,low,1.0
76416,53,M,Brazil,-9.804009564,-36.28838215,Search,525.0,0.0,0.0,2,3,1.5,299.95000076293945,149.97500038146973,medium,1.0
76725,14,M,Brazil,-9.964312128,-36.37153621,Search,327.0,1.0,0.0,1,1,1.0,19.979999542236328,19.979999542236328,none,0.0
20475,54,F,Brazil,-10.23130153,-36.48241565,Search,343.0,0.0,0.0,1,1,1.0,19.989999771118164,19.989999771118164,medium,1.0
24695,43,F,Brazil,-10.23130153,-36.48241565,Organic,53.0,1.0,0.0,1,1,1.0,39.9900016784668,39.9900016784668,medium,1.0
35568,53,M,Brazil,-10.23130153,-36.48241565,Search,277.0,0.0,0.0,1,1,1.0,42.5,42.5,medium,1.0
72920,59,M,Brazil,-10.23130153,-36.48241565,Search,22.0,0.0,0.0,1,1,1.0,224.0,224.0,medium,1.0
75924,18,F,Brazil,-10.23130153,-36.48241565,Organic,549.0,0.0,0.0,1,1,1.0,238.0,238.0,low,0.0
97271,36,F,Brazil,-10.23130153,-36.48241565,Facebook,318.0,0.0,0.0,1,1,1.0,39.9900016784668,39.9900016784668,low,0.0
99959,61,F,Brazil,-10.23130153,-36.48241565,Search,406.0,0.0,0.0,1,4,4.0,243.46999740600586,243.46999740600586,high,1.0
15892,36,F,Brazil,-9.789232303,-36.84902335,Search,222.0,0.0,0.0,1,1,1.0,65.0,65.0,low,1.0
23223,28,F,Brazil,-9.789232303,-36.84902335,Organic,43.0,0.0,0.0,2,4,2.0,151.9300022125244,75.9650011062622,medium,0.0
56211,40,M,Brazil,-9.789232303,-36.84902335,Search,104.0,0.0,0.0,1,1,1.0,119.6999969482422,119.6999969482422,low,1.0
57665,59,M,Brazil,-9.789232303,-36.84902335,Search,148.0,0.0,1.0,2,3,1.5,104.93000221252441,52.46500110626221,high,1.0
74202,19,F,Brazil,-9.35840959,-37.210821,Search,80.0,0.0,0.0,1,1,1.0,52.9900016784668,52.9900016784668,low,0.0
90673,63,M,Brazil,-9.35840959,-37.210821,Search,67.0,0.0,1.0,1,4,4.0,187.97000122070312,187.97000122070312,high,0.0
53763,33,F,Brazil,-9.531928628,-37.49498126,Search,46.0,0.0,0.0,1,2,2.0,97.89999961853027,97.89999961853027,medium,1.0
3183,15,M,Brazil,-9.399166826,-38.04987492,Organic,91.0,0.0,0.0,1,1,1.0,69.98999786376953,69.98999786376953,none,0.0
3914,50,M,Brazil,-9.399166826,-38.04987492,Search,125.0,1.0,0.0,1,2,2.0,97.47999954223633,97.47999954223633,low,1.0
41947,17,F,Brazil,-9.399166826,-38.04987492,Search,272.0,0.0,0.0,1,1,1.0,37.799999237060554,37.799999237060554,medium,0.0
43980,55,F,Brazil,-9.399166826,-38.04987492,Display,113.0,0.0,0.0,1,1,1.0,48.0,48.0,high,1.0
53058,39,M,Brazil,-9.399166826,-38.04987492,Search,452.0,0.0,0.0,1,1,1.0,115.0,115.0,low,0.0
54148,16,M,Brazil,-9.399166826,-38.04987492,Search,88.0,0.0,0.0,1,4,4.0,379.93000411987305,379.93000411987305,medium,0.0
62263,36,F,Brazil,-9.399166826,-38.04987492,Search,18.0,0.0,0.0,1,1,1.0,78.0,78.0,low,1.0
76333,24,F,Brazil,-9.399166826,-38.04987492,Search,96.0,0.0,0.0,1,2,2.0,65.98999977111816,65.98999977111816,medium,0.0
78548,55,M,Brazil,-9.399166826,-38.04987492,Organic,37.0,0.0,0.0,1,2,2.0,98.45000076293945,98.45000076293945,medium,1.0
4370,39,F,United States,64.86519412,-148.2451182,Search,347.0,0.0,0.0,1,1,1.0,114.0,114.0,low,0.0
20645,52,F,United States,64.86519412,-148.2451182,Search,22.0,0.0,0.0,1,1,1.0,159.0,159.0,medium,1.0
49878,45,F,United States,64.86519412,-148.2451182,Search,692.0,0.0,0.0,1,1,1.0,64.98999786376953,64.98999786376953,medium,1.0
33539,50,F,United States,61.22955403,-149.3013926,Search,20.0,0.0,0.0,2,2,1.0,69.5999984741211,34.79999923706055,low,1.0
17428,25,M,United States,61.61964626,-149.3160646,Email,179.0,0.0,0.0,1,1,1.0,96.02999877929688,96.02999877929688,medium,1.0
51250,12,F,United States,61.61964626,-149.3160646,Organic,391.0,0.0,0.0,3,3,1.0,91.98999977111816,30.663333257039387,none,0.0
49305,46,F,United States,61.15817689,-149.5094883,Search,9.0,0.0,1.0,1,1,1.0,149.97999572753906,149.97999572753906,medium,1.0
17775,35,M,United States,61.1488497,-149.7851914,Search,410.0,0.0,0.0,2,5,2.5,339.4700012207031,169.73500061035156,medium,1.0
6657,42,F,United States,61.20107712,-149.8145664,Search,155.0,0.0,0.0,1,1,1.0,16.989999771118164,16.989999771118164,low,1.0
46120,43,F,United States,61.4937942,-149.8777456,Email,281.0,0.0,0.0,1,1,1.0,129.99000549316406,129.99000549316406,low,1.0
70361,43,M,United States,61.4937942,-149.8777456,Search,240.0,0.0,0.0,1,1,1.0,128.9499969482422,128.9499969482422,medium,1.0
95318,45,F,United States,61.4937942,-149.8777456,Facebook,204.0,0.0,0.0,1,2,2.0,171.98999977111816,171.98999977111816,medium,1.0
78690,70,F,United States,61.11627591,-149.8916904,Search,54.0,0.0,0.0,1,1,1.0,69.0,69.0,high,0.0
3503,56,M,United States,61.16070528,-149.9888737,Search,183.0,1.0,0.0,2,3,1.5,92.93000030517578,46.46500015258789,high,1.0
71455,41,F,United States,61.16070528,-149.9888737,Display,638.0,0.0,0.0,1,3,3.0,257.05000019073486,257.05000019073486,low,0.0
8744,65,M,Brazil,0.05520205505,-51.05580532,Facebook,331.0,1.0,1.0,1,1,1.0,34.650001525878906,34.650001525878906,medium,0.0
13452,51,F,Brazil,0.05520205505,-51.05580532,Search,308.0,0.0,0.0,1,1,1.0,19.989999771118164,19.989999771118164,high,1.0
14305,46,M,Brazil,0.05520205505,-51.05580532,Search,19.0,0.0,0.0,1,2,2.0,89.94999694824219,89.94999694824219,low,1.0
30967,57,M,Brazil,0.05520205505,-51.05580532,Search,73.0,0.0,0.0,1,1,1.0,98.0,98.0,high,1.0
11623,53,M,Brazil,0.01262310889,-51.06718514,Search,37.0,0.0,0.0,1,1,1.0,45.0,45.0,medium,1.0
14223,67,M,Brazil,0.01262310889,-51.06718514,Organic,30.0,0.0,0.0,1,1,1.0,160.0,160.0,low,0.0
40768,31,M,Brazil,0.01262310889,-51.06718514,Facebook,558.0,0.0,0.0,1,1,1.0,24.0,24.0,low,1.0
42905,24,M,Brazil,0.01262310889,-51.06718514,Search,591.0,0.0,0.0,1,1,1.0,30.0,30.0,low,0.0
9221,32,M,Brazil,0.08495500904,-51.07655535,Search,111.0,0.0,0.0,1,1,1.0,36.0,36.0,low,1.0
11990,58,M,Brazil,0.08495500904,-51.07655535,Organic,176.0,0.0,0.0,1,1,1.0,22.0,22.0,medium,1.0
29271,31,F,Brazil,0.08495500904,-51.07655535,Search,61.0,1.0,0.0,1,2,2.0,112.30999946594238,112.30999946594238,low,0.0
43200,15,M,Brazil,0.08495500904,-51.07655535,Search,139.0,1.0,0.0,2,2,1.0,106.10000228881836,53.05000114440918,none,0.0
46069,18,M,Brazil,0.08495500904,-51.07655535,Search,497.0,0.0,0.0,1,1,1.0,15.0,15.0,medium,0.0
48030,58,F,Brazil,0.08495500904,-51.07655535,Search,127.0,0.0,0.0,1,1,1.0,66.16999816894531,66.16999816894531,high,1.0
53646,37,F,Brazil,0.08495500904,-51.07655535,Facebook,48.0,0.0,0.0,1,1,1.0,9.989999771118164,9.989999771118164,low,0.0
54441,47,M,Brazil,0.08495500904,-51.07655535,Search,163.0,0.0,0.0,2,2,1.0,356.3999996185303,178.19999980926514,low,1.0
94336,39,F,Brazil,0.08495500904,-51.07655535,Search,92.0,2.0,0.0,1,1,1.0,8.0,8.0,low,1.0
23377,54,M,Brazil,0.03636191129,-51.07878744,Search,614.0,0.0,1.0,1,3,3.0,129.55000019073486,129.55000019073486,medium,1.0
37844,26,F,Brazil,0.03636191129,-51.07878744,Search,69.0,0.0,0.0,2,2,1.0,63.25,31.625,low,0.0
89073,14,F,Brazil,0.03636191129,-51.07878744,Search,669.0,0.0,0.0,1,1,1.0,29.950000762939453,29.950000762939453,none,0.0
41700,59,F,Brazil,0.01795169822,-51.08280927,Search,484.0,0.0,1.0,1,1,1.0,36.799999237060554,36.799999237060554,high,1.0
42103,34,F,Brazil,0.01795169822,-51.08280927,Search,356.0,0.0,0.0,2,4,2.0,262.1799945831299,131.08999729156494,medium,0.0
48846,22,M,Brazil,0.01795169822,-51.08280927,Search,297.0,0.0,0.0,2,5,2.5,686.9899978637695,343.49499893188477,low,0.0
35560,59,M,Brazil,0.005270354115,-51.08818868,Search,236.0,0.0,0.0,1,1,1.0,38.0,38.0,medium,1.0
51231,24,F,Brazil,0.005270354115,-51.08818868,Facebook,138.0,0.0,0.0,3,3,1.0,127.83999824523926,42.613332748413086,low,0.0
71093,15,F,Brazil,0.005270354115,-51.08818868,Search,52.0,0.0,0.0,1,1,1.0,9.449999809265137,9.449999809265137,none,0.0
5645,44,M,Brazil,0.1268670887,-51.37753193,Search,574.0,0.0,0.0,1,1,1.0,29.989999771118164,29.989999771118164,low,1.0
20210,41,M,Brazil,0.1268670887,-51.37753193,Facebook,243.0,0.0,0.0,1,1,1.0,25.0,25.0,medium,1.0
22149,44,F,Brazil,0.1268670887,-51.37753193,Display,74.0,0.0,0.0,1,4,4.0,140.4900016784668,140.4900016784668,medium,1.0
30365,63,M,Brazil,0.1268670887,-51.37753193,Organic,382.0,0.0,0.0,1,1,1.0,16.989999771118164,16.989999771118164,high,0.0
44924,43,M,Brazil,0.1268670887,-51.37753193,Search,394.0,0.0,0.0,1,1,1.0,18.0,18.0,low,1.0
47047,38,F,Brazil,0.1268670887,-51.37753193,Search,623.0,0.0,0.0,1,2,2.0,174.5,174.5,low,1.0
68385,32,M,Brazil,0.1268670887,-51.37753193,Organic,350.0,0.0,0.0,1,1,1.0,9.989999771118164,9.989999771118164,low,0.0
70060,30,F,Brazil,0.1268670887,-51.37753193,Search,21.0,0.0,0.0,1,1,1.0,57.9900016784668,57.9900016784668,low,0.0
70991,16,F,Brazil,0.1268670887,-51.37753193,Search,93.0,0.0,0.0,2,2,1.0,259.6000061035156,129.8000030517578,medium,0.0
71848,28,F,Brazil,0.1268670887,-51.37753193,Search,348.0,0.0,0.0,1,1,1.0,8.880000114440918,8.880000114440918,medium,0.0
17774,34,M,Brazil,1.096832853,-53.30566415,Organic,199.0,0.0,0.0,1,1,1.0,9.0,9.0,low,0.0
18953,14,F,Brazil,1.096832853,-53.30566415,Search,301.0,0.0,0.0,1,1,1.0,66.05000305175781,66.05000305175781,none,0.0
35515,64,F,Brazil,1.096832853,-53.30566415,Search,229.0,0.0,0.0,3,5,1.6666666666666667,300.5600018501282,100.18666728337605,medium,0.0
58632,39,F,Brazil,1.096832853,-53.30566415,Search,180.0,0.0,0.0,2,3,1.5,187.08999633789062,93.54499816894531,medium,1.0
71818,69,M,Brazil,1.096832853,-53.30566415,Search,84.0,0.0,0.0,1,2,2.0,84.94000244140625,84.94000244140625,low,0.0
46333,48,F,Brazil,-4.983693852,-58.06006844,Search,290.0,0.0,0.0,1,1,1.0,64.0,64.0,low,1.0
55261,44,M,Brazil,-4.983693852,-58.06006844,Search,202.0,0.0,0.0,1,2,2.0,459.0,459.0,low,1.0
69325,24,M,Brazil,-4.983693852,-58.06006844,Search,17.0,0.0,0.0,1,1,1.0,25.0,25.0,medium,0.0
